"No.","Time","Source","Destination","Protocol","Info"
"1","0.000000","65422.241","0.255","NBP","Op: lookup  Count: 1"
"33","1.000104","65422.241","0.255","NBP","Op: lookup  Count: 1"
"39","1.337325","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"42","1.373684","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"52","1.682234","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"64","2.092310","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"65","2.135687","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"68","2.182431","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"88","2.795376","65422.241","0.255","NBP","Op: lookup  Count: 1"
"94","2.982863","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"95","3.043620","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1 Ack=587 Win=501 Len=0 TSV=329482889 TSER=2108104"
"110","3.795499","65422.241","0.255","NBP","Op: lookup  Count: 1"
"284","10.818743","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"285","10.818790","130.126.143.48","66.35.1.171","TCP","46360 > https [ACK] Seq=587 Ack=587 Win=598 Len=0 TSV=2110063 TSER=329484832"
"286","10.819206","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"291","10.879670","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1173 Win=501 Len=0 TSV=329484848 TSER=2110064"
"292","10.879712","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"296","10.939823","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=587 Ack=1759 Win=497 Len=0 TSV=329484863 TSER=2110079"
"336","12.749735","HewlettP_03:f4:c8","LLDP_Multicast","LLDP","Chassis Id = 00:0e:7f:03:f4:00 Port Id = 56 TTL = 120 "
"368","13.915378","66.35.1.171","130.126.143.48","TLSv1","Application Data, Application Data"
"369","13.928966","130.126.143.48","66.35.1.171","TLSv1","Application Data, Application Data"
"370","13.989246","66.35.1.171","130.126.143.48","TCP","https > 46360 [ACK] Seq=1173 Ack=2345 Win=501 Len=0 TSV=329485625 TSER=2110841"
"395","14.711073","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"407","15.181871","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"408","15.204171","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
"411","15.444021","fe80::d152:44fa:876e:faac","ff02::16","ICMPv6","Multicast Listener Report Message v2"
