Comparing Results for /home/ndauten/Desktop/data/testAPPLE
Total Packets: 129.000000
Fingerprint,KL-Divergence,Number of Packets,Total Packet Deviation,Match
Tsquare-cache,1.044964,134.000000,5.000000,yes
amazon,0.465307,210.000000,81.000000,no
apple,0.091605,121.000000,8.000000,yes
ask,0.408430,98.000000,31.000000,no
ask_woocomp,0.114338,90.000000,39.000000,yes
espn_woocomp,0.669266,253.000000,124.000000,no
facebook-caceh,0.437001,24.000000,105.000000,no
facebook_woocomp,0.598178,21.000000,108.000000,no
fox,0.471132,347.000000,218.000000,no
meebo,0.104314,153.000000,24.000000,no
msn_woocomp,0.573443,216.000000,87.000000,no
yahoo-cache,0.596772,117.000000,12.000000,yes
yahoo_woocomp,0.552802,142.000000,13.000000,yes
gmail,0.354883,26.000000,103.000000,no
google_woocomp,0.065772,24.000000,105.000000,no
